Aanpassen 	To adjust
top	top
toren	tower
totaal (het)	total (it)
totaal	total
touw (het)	rope (it)
traan	tear
trachten	attempt
traditioneel	traditional
tram	tram
trap	stairway
treffen	take
trekken	to pull
troep	gang
trots	pride
trouw	faithfully
trouwen	Marry
trouwens	Besides
trui	sweater
tussen (bw)	between (bw)
twijfel	doubt
typisch	typical
uitbreiden	to expand
uitdelen	handing out
uitdoen	put out
uitdrukken	to express
uitdrukking	expression
uiteindelijk	in the end
uiteraard	naturally
uiterst	extremely
uitgaan	going out
uitgang	Exit
uitgeven	to spend
uitkijken	looking out
uitkleden	undress
uitkomen	Hatch
uitleggen	to explain
uitmaken	decide
uitnodigen	to invite
uitoefenen	exercise
uitsluitend	exclusively
uitspraak	statement
uitspreken	pronounce
uitstappen	to get off
uitsteken	sticking out
uitstekend	excellent
uittrekken	pull out
uitvoeren	to carry out
uitvoering	performance
uitzending	broadcast
uitzendkracht	temporary
uitzien	look
uitzoeken	investigate
universiteit	university
uur (het)	hours (it)
vaag	vaguely
vaak	often
vaas	vase
vak (het)	box (it)
vakantie	holidays
vallen	fall
van	from
vanavond	tonight
vandaag	today
vandaar	thence
vangen	to catch
vanmiddag	afternoon
vanmorgen	this morning
vannacht	tonight
vanzelf	itself
vanzelfsprekend	naturally
varen	sail
vast	fixed
vaststellen	determine
veilig	safe
veld (het)	field (it)
vent	guy
ver	far
veranderen	change
verandering	change
verband (het)	connection (it)
verbazen	amaze
verbieden	prohibit
verbinden	to connect
verblijf (het)	stay (it)
verboden	forbidden
verdelen	divide
verder	further
verdienen	to earn
verdienste	merit
verdriet (het)	sadness (it)
verdwijnen	to disappear
verenigen	unite
vereniging	association
vergadering	meeting
vergelijken	compare
vergelijking	comparison
vergeten	to forget
vergissen	mistake
verhaal (het)	story (it)
verheugen	rejoice
verhogen	to increase
verhouding	ratio
verhuizen	moving away
verhuren	rent out
verkeer (het)	traffic ()
verkeerd	wrong
verkeren	be
verkiezing	election
verklaren	to declare
verklaring	statement
verkopen	to sell
verkouden	catch a cold
verkrijgen	to gain
verlangen (het)	desire (it)
verlangen	desire
verlaten	leave
verleden (het)	past (it)
verlenen	grant
verlies (het)	loss (it)
verliezen	to lose
vermelden	mention
vermoedelijk	probably
vermoeden	conjecture
vermoeden (het)	suspect (it)
vernemen	hear
verontschuldiging	apology
veroorzaken	cause
verplegen	nurse
verplichten	oblige
verrassing	surprise
verrichten	perform
vers	fresh
verscheiden	several
verschijnen	to show up
verschil (het)	difference (it)
verschillen	differences
verschillend	different
verschrikkelijk	terrible
verstaan	understand
verstand (het)	sense (it)
verstandig	wisely
versterken	strengthen
vertalen	translate
verte	distance
vertegenwoordiger	representative
vertellen	to tell
vertonen	show
vertrek (het)	departure (it)
vertrekken	leave
vertrouwen	trust
vertrouwen (het)	Trust (the)
vervangen	to replace
vervelen	to bore
vervelend	annoying
vervoer (het)	transport (it)
vervolgen	prosecute
vervullen	fulfill
verwachten	expect
verwachting	expectation
verwarming	heating
verwijderen	remove
verwonderen	surprise
verzamelen	collect
verzekeren	to ensure
verzet (het)	resistance (it)
verzetten	move
verzoek (het)	request (the)
verzorgen	take care of
vestigen	settle
via	through
vieren	to celebrate
vierkant (het)	square (it)
vierkant	square
vies	dirty
vijand	enemy
vinden	find
vinger	finger
vis	fish
vlak (het)	plane (the)
vlak	flat
vliegen	travel by plane
vliegtuig (het)	plane (the)
vloer	floor
vluchten	flee
vlug	quickly
voelen	to feel
voeren	feed
voet	foot
voetballen	football
vogel	bird
vol	full
voldoen	pay
voldoende	Enough
volgen	to follow
volgend	next
volgens	according to
volk (het)	people (it)
volkomen	completely
volledig	fully
vooral	especially
voorbeeld (het)	Example (it)
voorbereiden	to prepare
voorbij (vz)	beyond (vz)
voorbij (bn/bw)	beyond (bn / bw)
voordat	prior to
voordeel (het)	advantage (it)
voorgrond	foreground
voorheen	before
voorkomen	appearance
voorlopig	for the time being
voornaam (bn)	first name (bn)
voorstander	advocate
voorstel (het)	proposal (it)
voorstellen	propose
voorstelling	representation
voortdurend	constantly
voortzetten	continue
vooruit	forward
voorwaarde	prerequisite
voorwerp (het)	object (it)
voorzichtig	cautious
voorzien	to provide
voorzitter	chairman
voren	forward
vorig	last
vork	fork
vorm	form
vormen	form
vraag	ask
vrachtwagen	truck
vragen	ask
vrede	peace
vreemd	strange
vrees	fear
vreselijk	horrible
vreugde	joy
vrezen	fear
vriend	friend
vriendelijk	friendly
vriendin	female friend
vrij	free
vrijdag	Friday
vrijheid	freedom
vrijwel	almost
vroeg	early
vroeger	back in the days
vrolijk	cheerful
vrouw	woman
vrucht	fruit
vuil	dirt
vullen	to fill
vuur (het)	fire (it)
waaien	whiffle
waard	worth
waarde	value
waardering	appreciation
waarheid	truth
waarom	why
waarschijnlijk	probably
waarschuwen	warn
wachten	to wait
wagen (de)	carriage (de)
wagen	car
wakker	awake
wand	wall
wandelen	hiking
wapen (het)	weapon (it)
warm	hot
wassen	Wash
water (het)	water (it)
wedstrijd	contest
week	week
wees	orphan
weer	weather
weg (de)	road ()
weg	away
wegens	due to
weggaan	depart
weigeren	refuse
weinig (bw)	little (bw)
weinig (bn)	little (bn)
wekken	arouse
wel	well
weliswaar	it is true
welk (vrw)	which (VRW)
welk (onbep vnw)	which (Unl pron)
wellicht	perhaps
welterusten	good night
wennen	get used to
wens	wish
wensen	to wish
wereld	world
werk (het)	work (the)
werkelijk	really
werkelijkheid	reality
werken	to work
werkgever	employer
werking	operation
werknemer	employee
werkzaamheden	activities
werpen	throw
westen (het)	west (the)
wet	law
weten	know
wetenschap	science
wetenschappelijk	scientific
wettelijk	legal
wezen (het)	being (it)
wezen = zijn	essentially are =
wijd	wide
wijn	wine
wijs	wise
wijze	way
wijzen	point
wild	wild
willen	want
wind	wind
winkel	store
winnen	to win
winst	profit
wit	white
woensdag	Wednesday
wonder (het)	marvel (it)
wonderlijk	wonderfully
wonen	live
woning	house
woord (het)	word (it)
worden	to become
zaak	matter
zaal zacht	room soft
zak	bag
zakken	lower
zand (het)	sand (it)
zaterdag	Saturday
zee	sea
zeep	soap
zeer	very
zeggen	say
zeker	certainly
zekerheid	security
zelden	rarely
zelf	self
zelfstandig	independent
zenuwachtig	nervous
zetten	put
zich	himself
zichtbaar	visible
ziek	ill
ziekenhuis (het)	Hospital (The)
ziekte	disease
ziel	soul
zien	see
zij / zijde	side / side
zij	she
zijde	side
zilver (het)	Silver (it)
zin	sentence
zitten	to sit
zoals	as
zodanig	such
zodat	so that
zodoende	consequently
zodra	as soon
zoeken	Search
zoet	sweet
zogenaamd	so-called
zolang (bw)	as long as (bw)
zolang (vw)	as long as (vw)
zomer	summer
zon	such a
zo'n	such a
zondag	Sunday
zonder (vz)	without (vz)
zonder (bw)	without (bw)
zoon	son
zorg	care
zorgen	to care
zorgvuldig	thoughtfully
zout (het)	salt (it)
zout	salt
zoveel (bw)	many (bw)
zoveel (onbep telw)	many (Unl telw)
zover / zoverre	far / extent
zowel	both
zuchten	sigh
zuiden (het)	south (it)
zuiver	pure
zus	sister
zuster	sister
zuur	acid
zwaar	heavy
zwak	weak
zwembad	swimming pool
zus	sister
zuur	acid
zwemmen	swimming

